Topic,Label,Series_Type,MK_trend,MK_p_value,MK_z,Sen_slope,Sen_intercept,Tau,Significant,Classification,MK_p_value_adj,Significant_FDR,Classification_FDR
0,Saldo & transaksi gagal,proportion,increasing,1.6157294571828018e-05,4.312289141410757,0.0024665326718079426,0.2582571038671595,0.33182503770739064,True,emerging,7.540070800186409e-05,True,emerging
1,Gangguan & maintenance,proportion,increasing,0.0008324487529167701,3.3417737813033037,0.004037584304644622,0.11441226942947383,0.40120663650075417,True,emerging,0.0019423804234724638,True,emerging
2,Permohonan perbaikan,proportion,increasing,0.0005622530185291907,3.449198597533051,0.0011342410961638402,0.08716332032407137,0.28054298642533937,True,emerging,0.001574308451881734,True,emerging
3,Aplikasi lemot,proportion,no trend,0.17911374730082308,-1.3434888090609287,-0.0006497681039628966,0.08228235631169194,-0.19306184012066366,False,stable,0.20896603851762693,False,stable
4,Verifikasi wajah gagal,proportion,decreasing,6.16386901519661e-08,-5.413981056268854,-0.002001271342434182,0.15231885466604006,-0.3453996983408748,True,declining,8.629416621275254e-07,True,declining
5,Pop-up overlapping,proportion,decreasing,2.470017878897224e-06,-4.710589096784804,-0.0020785330261136716,0.0872531776459923,-0.5143288084464555,True,declining,1.7290125152280567e-05,True,declining
6,Update memperburuk,proportion,no trend,0.5218562742618693,0.6404866366126994,0.0,0.014072315378147104,0.05203619909502263,False,stable,0.5218562742618693,False,stable
7,Bukti transfer/resi,proportion,decreasing,0.0031049482157263775,-2.9571521920895427,-0.00045599635202918376,0.0121859426910299,-0.526395173453997,True,declining,0.006209896431452755,True,declining
8,Blokir developer mode,proportion,decreasing,0.018888058382735107,-2.3477329429656146,-0.0006535102886256117,0.030610090591245614,-0.38461538461538464,True,declining,0.029381424150921275,True,declining
9,Maintenance malam hari,proportion,no trend,0.07735620252177977,1.7662363649120745,0.0,0.0,0.2579185520361991,False,stable,0.10828548890066396,False,stable
10,Sentimen ekstrem negatif,proportion,increasing,0.006743392577553076,2.7092577704004914,0.00019521538077513803,0.002093472058100047,0.25188536953242835,True,emerging,0.011800937010717882,True,emerging
11,Login pasca update,proportion,increasing,0.00017072675810769766,3.7588051051980074,6.371752106685953e-05,0.005091452931073198,0.13650075414781296,True,emerging,0.0005975436533769418,True,emerging
12,Aplikasi tidak bisa dibuka,proportion,no trend,0.5047878565561297,0.6669753848823394,0.0,0.0014534883720930232,0.08521870286576169,False,stable,0.5218562742618693,False,stable
13,Loading meski sinyal bagus,proportion,no trend,0.0850814555648074,1.7219341074528534,0.0,0.0,0.13273001508295626,False,stable,0.10828548890066396,False,stable
