Topic,Label,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,Total
0,Mobile Banking comparison,16,20,33,58,159,96,32,34,30,12,21,25,536
1,Verifikasi wajah gagal,29,48,73,67,45,33,29,27,12,21,22,44,450
2,Saldo terpotong / transaksi gagal,12,23,22,19,79,48,39,47,28,22,26,51,416
3,Gangguan & maintenance,3,4,7,5,201,84,16,22,17,9,15,16,399
4,Tarik tunai tanpa kartu,8,12,30,26,52,47,30,23,6,7,8,15,264
5,Aplikasi gak bisa dibuka,4,1,5,9,96,18,15,4,13,10,7,11,193
6,OTP / kode verifikasi email,7,23,57,21,17,4,8,4,6,3,2,11,163
7,Error 'kendala tim perbaiki',2,6,5,7,57,19,10,11,4,8,8,15,152
8,Password / PIN salah,11,6,14,20,7,12,14,10,4,5,9,6,118
9,Sesi berakhir saat login,1,2,1,3,24,35,15,12,2,1,2,5,103
10,Premature launch complaint,0,4,7,6,41,21,5,2,1,1,1,1,90
11,Permintaan perbaikan bug,2,2,1,4,24,12,5,2,2,4,3,11,72
12,Limit top-up wallet,1,1,1,0,14,12,12,8,3,6,5,5,68
