Topic,Label,Series_Type,MK_trend,MK_p_value,MK_z,Sen_slope,Sen_intercept,Tau,Significant,Classification,MK_p_value_adj,Significant_FDR,Classification_FDR,Practically_Stable,Classification_FDR_final
0,Mobile Banking comparison,frequency,no trend,0.6284125008400365,-0.4839624747811076,-0.0476190476190476,8.214285714285714,-0.0987933634992458,False,stable,0.6807802092433729,False,stable,False,stable
1,Verifikasi wajah gagal,frequency,no trend,0.1049163779214581,-1.6214723375271112,-0.109903381642512,9.80253623188406,-0.2413273001508295,False,stable,0.1713324893931179,False,stable,False,stable
2,Saldo terpotong / transaksi gagal,frequency,increasing,0.0195297085441206,2.3352625642564484,0.0689655172413793,4.741379310344827,0.2051282051282051,True,emerging,0.0847607631371163,False,stable,False,stable
3,Gangguan & maintenance,frequency,increasing,0.0195601761085653,2.3346793826332672,0.054054054054054,1.6216216216216215,0.2594268476621418,True,emerging,0.0847607631371163,False,stable,False,stable
4,Tarik tunai tanpa kartu,frequency,no trend,0.5210767534696363,-0.6416865045115254,-0.0277777777777777,4.708333333333333,-0.1199095022624434,False,stable,0.6158179813732065,False,stable,False,stable
5,Aplikasi gak bisa dibuka,frequency,no trend,0.0549947008568127,1.9189180899394245,0.0229915433403805,1.413715644820296,0.1802413273001508,False,stable,0.1429862222277132,False,stable,False,stable
6,OTP / kode verifikasi email,frequency,no trend,0.0840601712610145,-1.7275988381862577,-0.0219806763285024,1.5605072463768117,-0.2043740573152337,False,stable,0.1713324893931179,False,stable,False,stable
7,Error 'kendala tim perbaiki',frequency,increasing,0.0491257214698017,1.9674989098875648,0.0285714285714285,1.2714285714285714,0.2156862745098039,True,emerging,0.1429862222277132,False,stable,False,stable
8,Password / PIN salah,frequency,no trend,0.1054353780880725,-1.6190552404742211,0.0,2.0,-0.143288084464555,False,stable,0.1713324893931179,False,stable,False,stable
9,Sesi berakhir saat login,frequency,no trend,0.8017169336004413,0.2511256910807654,0.0,1.0,0.0429864253393665,False,stable,0.8017169336004413,False,stable,False,stable
10,Premature launch complaint,frequency,no trend,0.3436190630366695,-0.9470386922558618,0.0,0.5,-0.1515837104072398,False,stable,0.4467047819476704,False,stable,False,stable
11,Permintaan perbaikan bug,frequency,increasing,2.523660051267917e-05,4.212673253339985,0.0,1.0,0.1312217194570135,True,declining,0.0003280758066648,True,declining,True,Stable (practically)
12,Limit top-up wallet,frequency,no trend,0.185206610484794,1.3248930977400448,0.0,1.0,0.1998491704374057,False,stable,0.2675206595891469,False,stable,False,stable
